MS_SubClass,Bldg_Type,Overall_Cond,Lot_Frontage,Lot_Area,Street,UTM_x,UTM_y,School_District,Year_Built,Year_Remod_Add,Roof_Style,Gr_Liv_Area,Total_Bsmt_SF,Bsmt_Unf_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Garage_Type,Garage_Area,Year_Sold,Mo_Sold,YM_Sold,Sale_Condition,Sale_Price
One_Story_1946_and_Newer_All_Styles,OneFam,Good,0,7980,Pave,447379.31272135425,4656347.050487776,Fellows Elementary School,1992,2007,Gable,1187,1168,233,1,0,2,0,3,Attchd,420,2010,3,2010-03-01,Normal,185000
Two_Story_1946_and_Newer,OneFam,Average,63,8402,Pave,447156.8426947238,4656429.9871724155,Fellows Elementary School,1998,1998,Gable,1465,789,789,0,0,2,1,3,Attchd,393,2010,5,2010-05-01,Normal,180400
One_Story_1946_and_Newer_All_Styles,OneFam,Average,85,10176,Pave,447488.82366746885,4656329.470506013,Fellows Elementary School,1990,1990,Gable,1341,1300,663,1,0,1,1,2,Attchd,506,2010,2,2010-02-01,Normal,171500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,0,6820,Pave,447632.125827988,4656539.48955548,Fellows Elementary School,1985,1985,Gable,1502,1488,0,1,0,1,1,1,Attchd,528,2010,6,2010-06-01,Normal,212000
Two_Story_1946_and_Newer,OneFam,Average,47,53504,Pave,448160.2929762058,4656765.446605122,Meeker Elementary School,2003,2003,Hip,3279,1650,234,1,0,3,1,4,BuiltIn,841,2010,6,2010-06-01,Normal,538000
One_and_Half_Story_Finished_All_Ages,OneFam,Good,152,12134,Pave,448404.034098042,4656665.1090091085,Meeker Elementary School,1988,2005,Gable,1752,559,132,0,0,2,0,4,Basment,492,2010,6,2010-06-01,Normal,164000
One_Story_1946_and_Newer_All_Styles,OneFam,Poor,88,11394,Pave,447971.8497493054,4656501.5629541855,Meeker Elementary School,2010,2010,Hip,1856,1856,411,1,0,1,1,1,Attchd,834,2010,6,2010-06-01,Partial,394432
One_Story_1946_and_Newer_All_Styles,OneFam,Average,140,19138,Pave,448452.7219834955,4656256.317260639,Meeker Elementary School,1951,1951,Gable,864,864,744,0,0,1,0,2,Detchd,400,2010,6,2010-06-01,Normal,141000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,85,13175,Pave,447318.6098933663,4656018.16693029,Fellows Elementary School,1978,1988,Gable,2073,1542,589,1,0,2,0,3,Attchd,500,2010,2,2010-02-01,Normal,210000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,105,11751,Pave,447538.06924228405,4655560.509164373,Fellows Elementary School,1977,1977,Hip,1844,1844,1139,0,0,2,0,3,Attchd,546,2010,1,2010-01-01,Normal,190000
Split_Foyer,OneFam,Above_Average,85,10625,Pave,447338.57211977086,4655553.551714595,Fellows Elementary School,1974,1974,Gable,1173,1053,0,1,0,2,0,3,Attchd,528,2010,1,2010-01-01,Family,170000
Two_Story_1946_and_Newer,OneFam,Average,0,7500,Pave,447090.00232905976,4655447.366542636,Fellows Elementary School,2000,2000,Gable,1674,814,281,1,0,2,1,3,Attchd,663,2010,1,2010-01-01,Normal,216000
One_Story_1946_and_Newer_All_Styles,OneFam,Good,0,11241,Pave,448181.7340251316,4656088.854405018,Meeker Elementary School,1970,1970,Gable,1004,1004,426,1,0,1,0,2,Attchd,480,2010,3,2010-03-01,Normal,149000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,0,12537,Pave,448155.9621799401,4656027.417844915,Meeker Elementary School,1971,2008,Gable,1078,1078,344,1,0,1,1,3,Attchd,500,2010,4,2010-04-01,Normal,149900
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,65,8450,Pave,447968.72684284305,4656099.300087017,Meeker Elementary School,1968,1968,Gable,1056,1056,281,1,0,1,0,3,Attchd,304,2010,7,2010-07-01,Normal,142000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,70,8400,Pave,448107.40806387656,4655894.86290286,Meeker Elementary School,1970,1970,Gable,882,882,0,1,0,1,0,2,Attchd,525,2010,4,2010-04-01,Normal,126000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,70,10500,Pave,448469.19547732756,4656223.108408244,Meeker Elementary School,1971,1971,Gable,864,864,432,0,0,1,0,3,No_Garage,0,2010,4,2010-04-01,Normal,115000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,26,5858,Pave,448335.615789382,4656106.716669547,Meeker Elementary School,1999,1999,Gable,1337,1405,354,1,0,2,0,2,Attchd,511,2010,6,2010-06-01,Normal,184000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,21,1680,Pave,448092.9807979782,4655721.751684665,Meeker Elementary School,1971,1971,Gable,987,483,327,0,0,1,1,2,Detchd,264,2010,2,2010-02-01,Normal,96000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,21,1680,Pave,448070.9288125248,4655705.146915478,Meeker Elementary School,1971,1971,Gable,1092,525,225,0,0,1,1,3,Detchd,320,2010,3,2010-03-01,Normal,105500
Two_Story_PUD_1946_and_Newer,Twnhs,Average,21,1680,Pave,448092.11390601355,4655705.102562793,Meeker Elementary School,1971,1971,Gable,1092,525,525,0,0,1,1,3,Detchd,264,2010,3,2010-03-01,Family,88000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,53,4043,Pave,448094.44708121876,4655481.568968063,Fellows Elementary School,1977,1977,Gable,1069,1069,709,0,0,2,0,2,Attchd,440,2010,7,2010-07-01,Normal,127500
Two_Story_PUD_1946_and_Newer,Twnhs,Above_Average,24,2280,Pave,448203.5103000877,4655593.027971505,Fellows Elementary School,1975,1975,Gable,1456,855,341,0,0,2,1,3,Attchd,440,2010,6,2010-06-01,Normal,149900
One_Story_PUD_1946_and_Newer,Twnhs,Above_Average,24,2280,Pave,448200.03307479015,4655592.831343459,Fellows Elementary School,1975,1975,Gable,836,836,836,0,0,1,0,2,Attchd,308,2010,6,2010-06-01,Normal,120000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,24,2280,Pave,448209.0911183343,4655496.16333736,Fellows Elementary School,1978,1978,Gable,1456,855,544,0,0,2,1,3,Attchd,440,2010,7,2010-07-01,Normal,146000
Two_Story_1946_and_Newer,OneFam,Average,102,12858,Pave,445956.1675716423,4656905.5221911045,Fellows Elementary School,2009,2010,Gable,2334,1590,1590,0,0,2,1,3,Attchd,751,2010,1,2010-01-01,Partial,376162
One_Story_1946_and_Newer_All_Styles,OneFam,Average,98,11478,Pave,445836.48839991196,4656879.455240161,Fellows Elementary School,2007,2008,Gable,1704,1704,486,1,0,2,0,3,Attchd,772,2010,5,2010-05-01,Normal,306000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,83,10159,Pave,445911.1250912033,4656770.523008648,Fellows Elementary School,2009,2010,Hip,1940,1930,284,1,0,2,1,3,Attchd,606,2010,4,2010-04-01,Partial,395192
One_Story_1946_and_Newer_All_Styles,OneFam,Average,94,12883,Pave,445985.9120803546,4656787.206921834,Fellows Elementary School,2009,2010,Gable,1544,1544,1544,0,0,2,0,3,Attchd,868,2010,6,2010-06-01,Partial,290941
One_Story_1946_and_Newer_All_Styles,OneFam,Average,95,12182,Pave,445995.28920677153,4656740.888329154,Fellows Elementary School,2005,2005,Gable,1541,1541,340,0,0,2,0,3,Attchd,532,2010,5,2010-05-01,Partial,220000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,90,11520,Pave,445945.01214062213,4656734.154736054,Fellows Elementary School,2005,2005,Hip,1698,1698,1588,0,0,2,0,3,Attchd,730,2010,6,2010-06-01,Normal,275000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,79,14122,Pave,446026.4878152816,4656741.427549266,Fellows Elementary School,2005,2006,Hip,1822,1822,1794,0,0,2,0,3,Attchd,678,2010,2,2010-02-01,Normal,259000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,70,10171,Pave,446028.3952257537,4656676.900363288,Fellows Elementary School,2004,2004,Gable,1535,1517,1515,0,0,2,0,3,Attchd,532,2010,3,2010-03-01,Normal,214000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,100,12919,Pave,445800.77766607003,4656603.023719176,Fellows Elementary School,2009,2010,Hip,2364,2330,142,1,0,2,1,2,Attchd,820,2010,3,2010-03-01,Partial,611657
One_Story_PUD_1946_and_Newer,TwnhsE,Average,44,6371,Pave,446181.58884329954,4656463.652574259,Fellows Elementary School,2009,2010,Gable,1358,1358,625,1,0,2,0,2,Attchd,484,2010,6,2010-06-01,Partial,224000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,110,14300,Pave,445715.8459240421,4656490.638771338,Fellows Elementary School,2003,2004,Hip,2696,2846,1473,1,0,2,1,3,Attchd,958,2010,6,2010-06-01,Normal,500000
Two_Story_1946_and_Newer,OneFam,Average,105,13650,Pave,445815.0222760592,4656323.655935707,Fellows Elementary School,2002,2002,Gable,2250,1671,1093,1,0,2,1,3,Attchd,756,2010,6,2010-06-01,Normal,320000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,61,7658,Pave,445875.6436072207,4656330.076354316,Fellows Elementary School,2005,2005,Hip,1752,1752,1296,1,0,2,0,2,Attchd,576,2010,2,2010-02-01,Normal,319900
One_Story_PUD_1946_and_Newer,TwnhsE,Average,41,7132,Pave,446263.3064390706,4656447.930528681,Fellows Elementary School,2006,2006,Gable,1370,1370,1346,0,0,2,0,2,Attchd,484,2010,4,2010-04-01,Normal,205000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,36,2628,Pave,446132.82638563635,4656330.001733566,Fellows Elementary School,2003,2003,Gable,1626,764,764,0,0,2,1,2,BuiltIn,474,2010,6,2010-06-01,Normal,175500
One_Story_1946_and_Newer_All_Styles,OneFam,Average,100,18494,Pave,446687.62408132374,4656852.893424649,Fellows Elementary School,2005,2005,Gable,1324,1324,1324,0,0,2,0,3,Attchd,430,2010,1,2010-01-01,Normal,199500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,43,3203,Pave,446913.28848870436,4656922.482538588,Fellows Elementary School,2006,2006,Gable,1145,1145,1129,0,0,2,0,2,Attchd,437,2010,1,2010-01-01,Normal,160000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,43,3182,Pave,446862.0171366508,4656893.220506635,Fellows Elementary School,2004,2005,Gable,1269,1256,1232,0,0,2,0,2,Attchd,430,2010,4,2010-04-01,Normal,192000
Split_or_Multilevel,OneFam,Average,67,13300,Pave,446710.3851177347,4656798.868984028,Fellows Elementary School,2004,2004,Gable,1374,384,58,1,0,2,1,3,BuiltIn,400,2010,6,2010-06-01,Normal,184500
Two_Story_1946_and_Newer,OneFam,Average,0,7851,Pave,446924.2068610825,4656745.51864488,Fellows Elementary School,2002,2002,Gable,1960,860,235,1,0,2,1,4,BuiltIn,440,2010,5,2010-05-01,Normal,216500
Two_Story_1946_and_Newer,OneFam,Average,63,8577,Pave,446844.9575311317,4656770.097520933,Fellows Elementary School,2004,2004,Gable,1733,847,847,0,0,2,1,3,BuiltIn,433,2010,4,2010-04-01,Normal,185088
Split_or_Multilevel,OneFam,Average,0,7750,Pave,446937.57645016816,4656740.865857685,Fellows Elementary School,2000,2000,Gable,1430,384,134,0,0,2,1,3,BuiltIn,400,2010,4,2010-04-01,Normal,180000
Two_Story_1946_and_Newer,OneFam,Average,0,9505,Pave,446933.39225515747,4656315.292527154,Fellows Elementary School,2001,2001,Gable,2035,884,884,0,0,2,1,3,BuiltIn,434,2010,5,2010-05-01,Normal,222500
Two_Story_1946_and_Newer,OneFam,Average,108,14774,Pave,446100.0132014298,4656019.902799261,Fellows Elementary School,1999,1999,Gable,2599,1393,1393,0,0,2,1,4,BuiltIn,779,2010,5,2010-05-01,Normal,333168
Two_Story_1946_and_Newer,OneFam,Average,60,17433,Pave,446020.186841219,4655893.595751505,Fellows Elementary School,1998,1998,Hip,2475,1629,1629,0,0,2,1,4,Attchd,962,2010,1,2010-01-01,Normal,355000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,59,10593,Pave,445863.98803544085,4655725.790218641,Fellows Elementary School,1996,1996,Hip,1720,1720,801,1,0,2,0,3,Attchd,527,2010,3,2010-03-01,Normal,260400
Two_Story_1946_and_Newer,OneFam,Average,98,12256,Pave,445912.77130173903,4655720.198541103,Fellows Elementary School,1994,1995,Gable,2622,1463,431,1,0,2,1,3,Attchd,712,2010,4,2010-04-01,Normal,325000
Two_Story_1946_and_Newer,OneFam,Good,92,11764,Pave,446183.20103428373,4655805.079282319,Fellows Elementary School,1999,2007,Gable,2270,1152,628,0,0,2,1,4,Attchd,671,2010,4,2010-04-01,Normal,290000
Two_Story_1946_and_Newer,OneFam,Average,58,16770,Pave,446164.8136166143,4655802.998369471,Fellows Elementary School,1998,1998,Gable,1839,1195,1195,0,0,2,1,4,Attchd,486,2010,6,2010-06-01,Normal,221000
One_and_Half_Story_Finished_All_Ages,OneFam,Average,56,14720,Pave,445965.4146493469,4655634.85311304,Fellows Elementary School,1995,1996,Hip,3238,2033,1217,1,0,2,1,4,Attchd,666,2010,3,2010-03-01,Normal,410000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,73,8987,Pave,446844.71178575826,4655867.035797132,Fellows Elementary School,2005,2006,Gable,1595,1595,1595,0,0,2,0,2,Attchd,880,2010,5,2010-05-01,Normal,221500
One_Story_1946_and_Newer_All_Styles,OneFam,Average,92,9215,Pave,446214.1145540498,4655734.890980267,Fellows Elementary School,2009,2010,Hip,1218,1218,1218,0,0,2,0,2,Attchd,676,2010,4,2010-04-01,Partial,204500
Two_Story_1946_and_Newer,OneFam,Average,72,8640,Pave,446185.6668522681,4655715.786761007,Fellows Elementary School,2009,2009,Gable,1547,756,732,0,0,2,1,3,Attchd,614,2010,6,2010-06-01,Normal,215200
One_Story_1946_and_Newer_All_Styles,OneFam,Average,75,9000,Pave,446450.22847444064,4655539.563369856,Fellows Elementary School,2008,2008,Gable,1566,1566,488,1,0,2,0,3,Attchd,750,2010,4,2010-04-01,Normal,262500
Two_Story_1946_and_Newer,OneFam,Average,100,12552,Pave,446810.60341290367,4655788.1227366105,Fellows Elementary School,2004,2005,Gable,1947,991,769,0,0,2,1,3,Attchd,678,2010,5,2010-05-01,Normal,254900
One_Story_1946_and_Newer_All_Styles,OneFam,Average,84,10440,Pave,446855.2680328931,4655685.855412461,Fellows Elementary School,2005,2005,Gable,1468,1468,54,1,0,2,0,2,Attchd,528,2010,5,2010-05-01,Normal,271500
Two_Story_1946_and_Newer,OneFam,Average,76,10142,Pave,442697.02571685635,4654033.409066451,Sawyer Elementary School,2004,2004,Gable,2084,956,300,1,0,2,1,4,BuiltIn,618,2010,1,2010-01-01,Normal,233000
Two_Story_1946_and_Newer,OneFam,Average,70,11920,Pave,442688.3726923892,4654017.711734584,Sawyer Elementary School,2004,2004,Gable,1659,831,831,0,0,2,1,3,Attchd,484,2010,4,2010-04-01,Normal,181000
Two_Story_1946_and_Newer,OneFam,Average,0,8880,Pave,442903.66603222425,4654006.312492278,Sawyer Elementary School,1994,2002,Gable,2110,948,253,1,0,2,1,3,Attchd,463,2010,5,2010-05-01,Normal,205000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,50,8012,Pave,443184.02346834727,4653943.431311686,Sawyer Elementary School,1980,1980,Gable,923,923,261,0,0,2,0,2,Attchd,264,2010,5,2010-05-01,Normal,143000
Two_Story_1946_and_Newer,OneFam,Average,70,11218,Pave,443079.3754507851,4654075.184889959,Sawyer Elementary School,1992,1992,Gable,1845,1055,1055,0,0,2,1,3,Attchd,462,2010,5,2010-05-01,Normal,189000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,55,7892,Pave,443195.9769512392,4653844.401001725,Sawyer Elementary School,1979,1979,Gable,918,918,918,0,0,2,0,2,Attchd,264,2010,4,2010-04-01,Normal,99500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,50,7175,Pave,443195.99302328774,4653856.726036196,Sawyer Elementary School,1984,1984,Gable,752,744,0,1,0,1,0,2,Attchd,264,2010,2,2010-02-01,Normal,125000
Two_Story_1946_and_Newer,OneFam,Good,0,9453,Pave,443196.3900612738,4654071.358393128,Sawyer Elementary School,1993,2003,Gable,1744,996,594,0,0,2,1,3,Attchd,457,2010,2,2010-02-01,Normal,194500
One_Story_1946_and_Newer_All_Styles,OneFam,Average,81,9672,Pave,443298.1718537508,4653839.806830812,Sawyer Elementary School,1984,1985,Hip,1097,1040,702,0,0,2,0,3,Attchd,480,2010,5,2010-05-01,Normal,152000
Two_Story_1946_and_Newer,OneFam,Above_Average,70,8400,Pave,443298.1984145566,4653853.464228038,Sawyer Elementary School,1980,1981,Gable,1564,650,650,0,0,2,1,3,Attchd,476,2010,4,2010-04-01,Normal,171000
One_Story_1945_and_Older,OneFam,Average,70,9800,Pave,443792.7252799653,4654004.685965632,Sawyer Elementary School,1920,1950,Gable,1012,816,816,0,0,1,0,2,Detchd,429,2010,4,2010-04-01,Normal,67500
Duplex_All_Styles_and_Ages,Duplex,Average,68,8930,Pave,443947.44823222415,4654054.49246182,Sawyer Elementary School,1978,1978,Gable,1902,0,0,0,0,2,0,4,Attchd,539,2010,4,2010-04-01,Normal,112000
Split_Foyer,OneFam,Good,88,11782,Pave,444238.60310336575,4653858.7671670625,Sawyer Elementary School,1961,1995,Gable,1155,1109,210,1,0,1,0,3,Detchd,576,2010,6,2010-06-01,Normal,148000
One_Story_1946_and_Newer_All_Styles,OneFam,Very_Good,65,8450,Pave,444463.94311529986,4653956.041773006,Sawyer Elementary School,1965,2009,Gable,894,894,224,1,0,1,0,3,Detchd,336,2010,4,2010-04-01,Normal,138500
One_Story_1946_and_Newer_All_Styles,OneFam,Average,0,9819,Pave,444368.8601215474,4653864.73817659,Sawyer Elementary School,1967,1967,Gable,900,882,432,0,0,1,0,3,Detchd,280,2010,2,2010-02-01,Normal,122000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,75,7500,Pave,444371.01112495613,4653832.964647135,Sawyer Elementary School,1963,1963,Gable,1040,1040,216,1,0,1,1,3,Attchd,308,2010,6,2010-06-01,Normal,133000
One_Story_1946_and_Newer_All_Styles,OneFam,Very_Good,0,6897,Pave,444568.59203433583,4653916.136860792,Sawyer Elementary School,1962,2010,Gable,1040,1040,381,1,0,1,1,3,Detchd,260,2010,4,2010-04-01,Normal,127000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,39,15410,Pave,445314.24197300186,4653829.283188934,Sawyer Elementary School,1974,2002,Hip,1494,1208,223,1,0,2,0,3,Attchd,461,2010,4,2010-04-01,Abnorml,169000
Two_Story_1946_and_Newer,OneFam,Average,107,10186,Pave,446478.15156747913,4655336.043630655,Fellows Elementary School,1992,1992,Gable,1923,750,76,1,0,2,1,3,Attchd,564,2010,6,2010-06-01,Normal,190000
Two_Story_1946_and_Newer,OneFam,Average,85,13143,Pave,446061.17950631323,4655180.647611964,Fellows Elementary School,1993,1993,Gable,2349,1231,0,1,0,2,1,4,Attchd,762,2010,6,2010-06-01,Normal,362500
Two_Story_1946_and_Newer,OneFam,Average,88,11134,Pave,445977.53078043065,4655064.4745280165,Fellows Elementary School,1992,1993,Gable,2225,1390,261,1,0,2,1,4,Attchd,713,2010,6,2010-06-01,Normal,285000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,25,4835,Pave,446374.94372967194,4655247.884126205,Fellows Elementary School,2004,2005,Gable,1488,1488,190,1,0,2,0,2,Attchd,506,2010,3,2010-03-01,Normal,260000
Two_Story_PUD_1946_and_Newer,TwnhsE,Average,39,3515,Pave,446528.4096590652,4655317.120678216,Fellows Elementary School,2004,2004,Gable,1680,840,840,0,0,2,1,2,Attchd,588,2010,1,2010-01-01,Normal,190000
Two_Story_PUD_1946_and_Newer,TwnhsE,Average,30,3215,Pave,446573.58275917603,4655370.077306142,Fellows Elementary School,2004,2004,Gable,1200,600,320,0,0,2,1,2,Detchd,480,2010,4,2010-04-01,Normal,155000
Two_Story_PUD_1946_and_Newer,TwnhsE,Average,30,3182,Pave,446631.78063129657,4655295.576751088,Fellows Elementary School,2004,2005,Gable,1200,600,600,0,0,2,1,2,Detchd,480,2010,6,2010-06-01,Normal,151000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,24,2544,Pave,446631.76137979125,4655293.023049093,Fellows Elementary School,2004,2005,Gable,1200,600,190,1,0,2,1,2,Detchd,480,2010,2,2010-02-01,Normal,149500
Two_Story_PUD_1946_and_Newer,Twnhs,Average,24,2544,Pave,446631.5999436312,4655282.586804044,Fellows Elementary School,2005,2005,Gable,1236,600,224,1,0,2,1,2,Detchd,480,2010,5,2010-05-01,Normal,152000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,0,4403,Pave,446465.7515461689,4655216.417435967,Fellows Elementary School,2009,2009,Gable,1478,1470,892,1,0,2,1,2,Attchd,484,2010,6,2010-06-01,Partial,222000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,0,2117,Pave,446570.9748106296,4655101.276806173,Fellows Elementary School,2000,2000,Gable,1573,756,378,0,0,2,1,3,Detchd,440,2010,6,2010-06-01,Normal,177500
Two_Story_PUD_1946_and_Newer,TwnhsE,Average,0,2980,Pave,446572.71273517224,4655101.263690629,Fellows Elementary School,2000,2000,Gable,1512,756,290,1,0,2,1,2,Detchd,440,2010,5,2010-05-01,Normal,177000
Two_Story_PUD_1946_and_Newer,Twnhs,Average,24,2572,Pave,446581.470577823,4655132.176875497,Fellows Elementary School,1999,1999,Hip,1416,696,92,1,0,2,1,3,Detchd,484,2010,5,2010-05-01,Normal,155000
Two_Story_PUD_1946_and_Newer,TwnhsE,Average,0,2403,Pave,446581.5419040036,4655097.754925269,Fellows Elementary School,2003,2003,Gable,1080,530,286,0,0,2,1,2,Attchd,496,2010,6,2010-06-01,Normal,147110
One_Story_1946_and_Newer_All_Styles,OneFam,Average,57,12853,Pave,446931.95962509286,4655197.006894306,Fellows Elementary School,2010,2010,Gable,1418,1642,610,1,0,1,1,1,Attchd,852,2010,4,2010-04-01,Partial,267916
Two_Story_1946_and_Newer,OneFam,Average,68,7379,Pave,446740.82563302893,4655126.0906558875,Fellows Elementary School,2000,2000,Gable,1848,975,491,1,0,2,1,3,Attchd,592,2010,4,2010-04-01,Normal,254000
One_Story_PUD_1946_and_Newer,TwnhsE,Average,30,4420,Pave,446257.2002265204,4654706.139787953,Fellows Elementary School,1980,1980,Gable,788,728,0,1,0,1,0,1,Detchd,484,2010,6,2010-06-01,Normal,155000
One_Story_PUD_1946_and_Newer,Twnhs,Above_Average,40,3880,Pave,446358.96360638656,4654831.839045537,Fellows Elementary School,1978,1978,Gable,1226,1226,174,1,0,1,0,1,Attchd,484,2010,1,2010-01-01,Normal,206000
Two_Story_1946_and_Newer,OneFam,Very_Good,0,13517,Pave,445435.2206352381,4653823.686572758,Sawyer Elementary School,1976,2005,Gable,1479,725,192,0,0,2,1,3,Attchd,475,2010,3,2010-03-01,Normal,130500
One_Story_1946_and_Newer_All_Styles,OneFam,Average,80,8000,Pave,447077.0156228776,4655370.737236981,Fellows Elementary School,2002,2002,Gable,1492,1492,659,1,0,2,0,3,Attchd,596,2010,4,2010-04-01,Normal,230000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,0,10456,Pave,447585.3232884911,4655113.347868477,Fellows Elementary School,1967,1967,Hip,1829,1829,1323,1,0,2,0,4,Attchd,535,2010,5,2010-05-01,Normal,218500
Two_Story_1946_and_Newer,OneFam,Average,80,10791,Pave,447290.63837362523,4654750.891537088,Fellows Elementary School,1993,1993,Gable,2495,1280,143,1,0,2,1,4,Attchd,660,2010,3,2010-03-01,Normal,243500
One_Story_1946_and_Newer_All_Styles,OneFam,Good,0,10603,Pave,447242.5268910053,4654781.00766105,Fellows Elementary School,1977,2001,Gable,1610,1610,410,1,0,2,0,3,Attchd,480,2010,2,2010-02-01,Normal,205000
One_and_Half_Story_Finished_All_Ages,OneFam,Average,0,18837,Pave,447236.89907617896,4654781.049597196,Fellows Elementary School,1978,1978,Gable,1891,1224,491,0,1,3,0,3,Attchd,678,2010,4,2010-04-01,Normal,212500
Two_Story_1946_and_Newer,OneFam,Average,80,10421,Pave,447215.6482843488,4654783.761831177,Fellows Elementary School,1988,1988,Gable,1714,980,586,0,0,2,1,3,Attchd,496,2010,3,2010-03-01,Normal,196500
One_Story_1946_and_Newer_All_Styles,OneFam,Good,78,9360,Pave,447741.8389482323,4654834.599611446,Fellows Elementary School,1972,2006,Hip,1381,1161,179,1,0,1,1,3,Attchd,676,2010,3,2010-03-01,Normal,197500
Two_Story_1946_and_Newer,OneFam,Above_Average,80,9600,Pave,447649.2282283878,4654835.172721557,Fellows Elementary School,1971,1971,Gable,1645,715,386,0,0,1,2,4,Attchd,441,2010,6,2010-06-01,Normal,171000
